"gutenberg_id" "text" "linenumber" "chapter"
"1" 5200 "Metamorphosis" 1 0
"2" 5200 "" 2 0
"3" 5200 "by Franz Kafka" 3 0
"4" 5200 "" 4 0
"5" 5200 "Translated by David Wyllie" 5 0
"6" 5200 "" 6 0
"7" 5200 "" 7 0
"8" 5200 "" 8 0
"9" 5200 "" 9 0
"10" 5200 "<chapter I>" 10 0
"11" 5200 "" 11 0
"12" 5200 "" 12 0
"13" 5200 "One morning, when Gregor Samsa woke from troubled dreams, he found" 13 0
"14" 5200 "himself transformed in his bed into a horrible vermin. He lay on his" 14 0
"15" 5200 "armour-like back, and if he lifted his head a little he could see his" 15 0
"16" 5200 "brown belly, slightly domed and divided by arches into stiff sections." 16 0
"17" 5200 "The bedding was hardly able to cover it and seemed ready to slide off" 17 0
"18" 5200 "any moment. His many legs, pitifully thin compared with the size of the" 18 0
"19" 5200 "rest of him, waved about helplessly as he looked." 19 0
"20" 5200 "" 20 0
"21" 5200 "“What’s happened to me?” he thought. It wasn’t a dream. His room, a" 21 0
"22" 5200 "proper human room although a little too small, lay peacefully between" 22 0
"23" 5200 "its four familiar walls. A collection of textile samples lay spread out" 23 0
"24" 5200 "on the table—Samsa was a travelling salesman—and above it there hung a" 24 0
"25" 5200 "picture that he had recently cut out of an illustrated magazine and" 25 0
"26" 5200 "housed in a nice, gilded frame. It showed a lady fitted out with a fur" 26 0
"27" 5200 "hat and fur boa who sat upright, raising a heavy fur muff that covered" 27 0
"28" 5200 "the whole of her lower arm towards the viewer." 28 0
"29" 5200 "" 29 0
"30" 5200 "Gregor then turned to look out the window at the dull weather. Drops of" 30 0
"31" 5200 "rain could be heard hitting the pane, which made him feel quite sad." 31 0
"32" 5200 "“How about if I sleep a little bit longer and forget all this" 32 0
"33" 5200 "nonsense”, he thought, but that was something he was unable to do" 33 0
"34" 5200 "because he was used to sleeping on his right, and in his present state" 34 0
"35" 5200 "couldn’t get into that position. However hard he threw himself onto his" 35 0
"36" 5200 "right, he always rolled back to where he was. He must have tried it a" 36 0
"37" 5200 "hundred times, shut his eyes so that he wouldn’t have to look at the" 37 0
"38" 5200 "floundering legs, and only stopped when he began to feel a mild, dull" 38 0
"39" 5200 "pain there that he had never felt before." 39 0
"40" 5200 "" 40 0
"41" 5200 "“Oh, God”, he thought, “what a strenuous career it is that I’ve chosen!" 41 0
"42" 5200 "Travelling day in and day out. Doing business like this takes much more" 42 0
"43" 5200 "effort than doing your own business at home, and on top of that there’s" 43 0
"44" 5200 "the curse of travelling, worries about making train connections, bad" 44 0
"45" 5200 "and irregular food, contact with different people all the time so that" 45 0
"46" 5200 "you can never get to know anyone or become friendly with them. It can" 46 0
"47" 5200 "all go to Hell!” He felt a slight itch up on his belly; pushed himself" 47 0
"48" 5200 "slowly up on his back towards the headboard so that he could lift his" 48 0
"49" 5200 "head better; found where the itch was, and saw that it was covered with" 49 0
"50" 5200 "lots of little white spots which he didn’t know what to make of; and" 50 0
"51" 5200 "when he tried to feel the place with one of his legs he drew it quickly" 51 0
"52" 5200 "back because as soon as he touched it he was overcome by a cold" 52 0
"53" 5200 "shudder." 53 0
"54" 5200 "" 54 0
"55" 5200 "He slid back into his former position. “Getting up early all the time”," 55 0
"56" 5200 "he thought, “it makes you stupid. You’ve got to get enough sleep. Other" 56 0
"57" 5200 "travelling salesmen live a life of luxury. For instance, whenever I go" 57 0
"58" 5200 "back to the guest house during the morning to copy out the contract," 58 0
"59" 5200 "these gentlemen are always still sitting there eating their breakfasts." 59 0
"60" 5200 "I ought to just try that with my boss; I’d get kicked out on the spot." 60 0
"61" 5200 "But who knows, maybe that would be the best thing for me. If I didn’t" 61 0
"62" 5200 "have my parents to think about I’d have given in my notice a long time" 62 0
"63" 5200 "ago, I’d have gone up to the boss and told him just what I think, tell" 63 0
"64" 5200 "him everything I would, let him know just what I feel. He’d fall right" 64 0
"65" 5200 "off his desk! And it’s a funny sort of business to be sitting up there" 65 0
"66" 5200 "at your desk, talking down at your subordinates from up there," 66 0
"67" 5200 "especially when you have to go right up close because the boss is hard" 67 0
"68" 5200 "of hearing. Well, there’s still some hope; once I’ve got the money" 68 0
"69" 5200 "together to pay off my parents’ debt to him—another five or six years I" 69 0
"70" 5200 "suppose—that’s definitely what I’ll do. That’s when I’ll make the big" 70 0
"71" 5200 "change. First of all though, I’ve got to get up, my train leaves at" 71 0
"72" 5200 "five.”" 72 0
"73" 5200 "" 73 0
"74" 5200 "And he looked over at the alarm clock, ticking on the chest of drawers." 74 0
"75" 5200 "“God in Heaven!” he thought. It was half past six and the hands were" 75 0
"76" 5200 "quietly moving forwards, it was even later than half past, more like" 76 0
"77" 5200 "quarter to seven. Had the alarm clock not rung? He could see from the" 77 0
"78" 5200 "bed that it had been set for four o’clock as it should have been; it" 78 0
"79" 5200 "certainly must have rung. Yes, but was it possible to quietly sleep" 79 0
"80" 5200 "through that furniture-rattling noise? True, he had not slept" 80 0
"81" 5200 "peacefully, but probably all the more deeply because of that. What" 81 0
"82" 5200 "should he do now? The next train went at seven; if he were to catch" 82 0
"83" 5200 "that he would have to rush like mad and the collection of samples was" 83 0
"84" 5200 "still not packed, and he did not at all feel particularly fresh and" 84 0
"85" 5200 "lively. And even if he did catch the train he would not avoid his" 85 0
"86" 5200 "boss’s anger as the office assistant would have been there to see the" 86 0
"87" 5200 "five o’clock train go, he would have put in his report about Gregor’s" 87 0
"88" 5200 "not being there a long time ago. The office assistant was the boss’s" 88 0
"89" 5200 "man, spineless, and with no understanding. What about if he reported" 89 0
"90" 5200 "sick? But that would be extremely strained and suspicious as in five" 90 0
"91" 5200 "years of service Gregor had never once yet been ill. His boss would" 91 0
"92" 5200 "certainly come round with the doctor from the medical insurance" 92 0
"93" 5200 "company, accuse his parents of having a lazy son, and accept the" 93 0
"94" 5200 "doctor’s recommendation not to make any claim as the doctor believed" 94 0
"95" 5200 "that no-one was ever ill but that many were workshy. And what’s more," 95 0
"96" 5200 "would he have been entirely wrong in this case? Gregor did in fact," 96 0
"97" 5200 "apart from excessive sleepiness after sleeping for so long, feel" 97 0
"98" 5200 "completely well and even felt much hungrier than usual." 98 0
"99" 5200 "" 99 0
"100" 5200 "He was still hurriedly thinking all this through, unable to decide to" 100 0
"101" 5200 "get out of the bed, when the clock struck quarter to seven. There was a" 101 0
"102" 5200 "cautious knock at the door near his head. “Gregor”, somebody called—it" 102 0
"103" 5200 "was his mother—“it’s quarter to seven. Didn’t you want to go" 103 0
"104" 5200 "somewhere?” That gentle voice! Gregor was shocked when he heard his own" 104 0
"105" 5200 "voice answering, it could hardly be recognised as the voice he had had" 105 0
"106" 5200 "before. As if from deep inside him, there was a painful and" 106 0
"107" 5200 "uncontrollable squeaking mixed in with it, the words could be made out" 107 0
"108" 5200 "at first but then there was a sort of echo which made them unclear," 108 0
